Date,sap_daily
26/03/2023,0.516702401
27/03/2023,0.706939564
28/03/2023,0.730419721
29/03/2023,0.352340724
30/03/2023,0.548131164
31/03/2023,1.643725897
01/04/2023,1.011429789
02/04/2023,0.563793878
03/04/2023,0.647477252
04/04/2023,1.494337276
05/04/2023,0.645638035
06/04/2023,0.912420033
07/04/2023,0.878261275
08/04/2023,1.00645664
09/04/2023,0.697275424
10/04/2023,1.08774471
11/04/2023,0.975629865
12/04/2023,0.976073706
13/04/2023,1.606503779
14/04/2023,1.715901715
15/04/2023,1.011221341
16/04/2023,0.318801371
17/04/2023,0.532454466
18/04/2023,1.286334597
19/04/2023,1.569195465
20/04/2023,0.560325987
21/04/2023,1.045874004
22/04/2023,1.473401062
23/04/2023,1.171979121
24/04/2023,0.655537205
25/04/2023,0.577430898
26/04/2023,1.069190932
27/04/2023,1.166690004
28/04/2023,0.450035244
29/04/2023,1.241983641
30/04/2023,1.304263794
01/05/2023,0.254978964
02/05/2023,0.648080812
03/05/2023,1.914573687
04/05/2023,2.360609618
05/05/2023,2.202241715
06/05/2023,1.932716224
07/05/2023,2.036394585
08/05/2023,0.455443875
09/05/2023,0.411284571
10/05/2023,0.300671824
11/05/2023,0.343978725
12/05/2023,0.855145625
13/05/2023,0.732126664
14/05/2023,0.855808034
15/05/2023,0.963739176
16/05/2023,0.62194369
17/05/2023,0.592840035
18/05/2023,1.291499165
19/05/2023,1.415134874
20/05/2023,2.249902626
21/05/2023,2.496044608
22/05/2023,2.491383956
23/05/2023,2.002921478
24/05/2023,0.034245877
25/05/2023,2.426053615
26/05/2023,2.522047428
27/05/2023,2.553532264
28/05/2023,2.22472603
29/05/2023,2.32895195
30/05/2023,1.997973116
31/05/2023,2.014684184
01/06/2023,1.989303814
02/06/2023,1.994000042
03/06/2023,1.690649578
04/06/2023,0.261238141
05/06/2023,1.3138628
06/06/2023,2.315951154
07/06/2023,2.62006685
08/06/2023,1.864442366
09/06/2023,2.433949653
10/06/2023,1.687707711
11/06/2023,1.895652197
12/06/2023,2.337885207
13/06/2023,2.287376848
14/06/2023,2.178910607
15/06/2023,2.144850694
16/06/2023,1.461627923
17/06/2023,2.095788889
18/06/2023,2.058676781
19/06/2023,1.471959731
20/06/2023,2.108757081
21/06/2023,2.366011124
22/06/2023,2.498561428
23/06/2023,0.957234721
24/06/2023,2.065430257
25/06/2023,2.202055186
26/06/2023,2.356229179
27/06/2023,1.967448365
28/06/2023,1.604005816
29/06/2023,2.066775249
30/06/2023,0.726730249
01/07/2023,1.513817491
02/07/2023,1.597412874
03/07/2023,1.840525569
04/07/2023,1.956078734
05/07/2023,1.39406635
06/07/2023,1.820863741
07/07/2023,2.557640197
08/07/2023,2.311026343
09/07/2023,2.463366755
10/07/2023,2.468275109
11/07/2023,2.212706138
12/07/2023,1.003041647
13/07/2023,1.077826322
14/07/2023,2.681937533
15/07/2023,2.687817325
16/07/2023,2.278659257
17/07/2023,2.510251369
18/07/2023,1.801641587
19/07/2023,2.277519109
20/07/2023,2.705355306
21/07/2023,0.970139301
22/07/2023,2.375109317
23/07/2023,2.663747417
24/07/2023,0.932360244
25/07/2023,0.747606044
26/07/2023,0.827372365
27/07/2023,2.524728017
28/07/2023,2.524134559
29/07/2023,1.305141708
30/07/2023,1.833383229
31/07/2023,2.505890369
01/08/2023,1.212508507
02/08/2023,2.406181489
03/08/2023,1.647504093
04/08/2023,0.976356949
05/08/2023,0.648095313
06/08/2023,0.727318707
07/08/2023,1.236513668
08/08/2023,2.417464179
09/08/2023,1.665707249
10/08/2023,2.560612163
11/08/2023,2.645606258
12/08/2023,2.393839143
13/08/2023,2.9128822
14/08/2023,2.782927997
15/08/2023,2.375997974
16/08/2023,2.697102532
17/08/2023,1.933926931
18/08/2023,2.562943465
19/08/2023,2.722116702
20/08/2023,2.575547004
21/08/2023,2.619518392
22/08/2023,2.601910829
23/08/2023,2.576298597
24/08/2023,2.33212512
25/08/2023,2.111964183
26/08/2023,0.89516407
27/08/2023,0.554210287
28/08/2023,0.554293713
29/08/2023,0.275658431
30/08/2023,0.466953278
31/08/2023,1.310027683
01/09/2023,2.341624837
02/09/2023,2.542737387
03/09/2023,2.569459668
04/09/2023,2.646786725
05/09/2023,2.152430751
06/09/2023,2.541167321
07/09/2023,2.327892091
08/09/2023,2.484640312
09/09/2023,2.356609745
10/09/2023,2.337274333
11/09/2023,2.503331957
12/09/2023,2.259723868
13/09/2023,0.226640841
14/09/2023,1.005208253
15/09/2023,1.397481533
16/09/2023,2.245631088
17/09/2023,2.319882956
18/09/2023,0.232265384
19/09/2023,1.313037468
20/09/2023,2.366343415
21/09/2023,2.313980562
22/09/2023,0.224731455
23/09/2023,0.394865413
24/09/2023,1.283861216
25/09/2023,2.539564289
26/09/2023,2.449833157
27/09/2023,1.969930641
28/09/2023,2.059183457
29/09/2023,2.177601666
30/09/2023,1.539541884
01/10/2023,2.172583185
02/10/2023,2.166014521
03/10/2023,2.033488885
04/10/2023,0.810609056
05/10/2023,1.659553718
06/10/2023,2.156420676
07/10/2023,1.825156933
08/10/2023,1.849788139
09/10/2023,1.936176435
10/10/2023,1.804429859
11/10/2023,1.804960308
12/10/2023,1.767635678
13/10/2023,1.757788498
14/10/2023,1.125366798
15/10/2023,0.582264607
16/10/2023,1.044247344
17/10/2023,1.327328192
18/10/2023,1.34173568
19/10/2023,1.008424417
20/10/2023,0.320313654
21/10/2023,0.201629763
22/10/2023,0.374740535
23/10/2023,0.685853156
24/10/2023,0.301073052
25/10/2023,0.732661204
26/10/2023,0.666498209
27/10/2023,0.330448439
28/10/2023,1.043088144
29/10/2023,1.489563871
30/10/2023,0.828523377
31/10/2023,0.34290386
01/11/2023,0.37696602
02/11/2023,0.290764315
03/11/2023,0.412316525
04/11/2023,1.059249122
05/11/2023,0.178881516
06/11/2023,0.812322994
07/11/2023,0.411546635
08/11/2023,0.883861434
09/11/2023,0.538869167
10/11/2023,0.502405113
11/11/2023,0.636405181
12/11/2023,0.452860735
13/11/2023,0.243617058
14/11/2023,0.405352128
15/11/2023,0.781355373
16/11/2023,1.345328466
17/11/2023,1.109574456
18/11/2023,1.468040868
19/11/2023,0.172173264
20/11/2023,0.98060048
21/11/2023,0.440580835
22/11/2023,0.520856057
23/11/2023,0.913049129
24/11/2023,0.62444271
25/11/2023,1.31916019
26/11/2023,0.685341132
27/11/2023,2.356030216
28/11/2023,0.556170542
29/11/2023,1.093101769
30/11/2023,0.937242659
01/12/2023,0.187796325
02/12/2023,0.786493805
03/12/2023,1.291968736
04/12/2023,0.89535373
05/12/2023,0.093198595
06/12/2023,0.191043681
07/12/2023,0.427536408
08/12/2023,0.725773014
09/12/2023,0.190620844
10/12/2023,0.117968309
